iter	Passed	Remaining
0	103	103285
1	105	52560
2	106	35473
3	108	26916
4	110	21933
5	111	18490
6	113	16119
7	115	14281
8	116	12862
9	118	11738
10	120	10800
11	121	10012
12	122	9332
13	124	8747
14	125	8225
15	127	7828
16	128	7438
17	129	7074
18	131	6767
19	132	6511
20	134	6249
21	135	6011
22	136	5789
23	137	5577
24	138	5391
25	139	5223
26	140	5063
27	141	4928
28	143	4791
29	144	4660
30	145	4554
31	146	4440
32	147	4330
33	149	4234
34	150	4139
35	151	4047
36	152	3960
37	153	3876
38	154	3798
39	155	3727
40	157	3679
41	158	3623
42	160	3566
43	161	3506
44	163	3467
45	164	3410
46	165	3356
47	166	3302
48	168	3260
49	168	3210
50	170	3164
51	171	3119
52	172	3078
53	173	3040
54	174	2999
55	175	2964
56	176	2924
57	177	2885
58	178	2847
59	179	2808
60	180	2777
61	181	2749
62	182	2719
63	183	2689
64	185	2664
65	186	2641
66	188	2622
67	189	2598
68	190	2571
69	192	2551
70	193	2528
71	194	2502
72	195	2477
73	196	2454
74	197	2432
75	198	2411
76	199	2391
77	200	2369
78	201	2354
79	203	2335
80	205	2333
81	206	2314
82	207	2290
83	208	2270
84	209	2253
85	210	2234
86	211	2223
87	213	2208
88	214	2190
89	215	2177
90	216	2163
91	217	2150
92	219	2136
93	220	2122
94	221	2108
95	222	2094
96	223	2079
97	224	2065
98	225	2051
99	226	2038
100	227	2025
101	228	2014
102	230	2003
103	231	1991
104	232	1981
105	233	1969
106	235	1961
107	236	1949
108	237	1941
109	238	1929
110	239	1918
111	240	1905
112	241	1895
113	242	1885
114	243	1873
115	244	1862
116	245	1851
117	246	1841
118	247	1830
119	248	1820
120	249	1810
121	249	1799
122	251	1792
123	253	1787
124	254	1779
125	255	1771
126	256	1761
127	258	1758
128	259	1751
129	260	1745
130	262	1743
131	264	1739
132	265	1733
133	267	1726
134	269	1729
135	270	1721
136	272	1713
137	273	1705
138	274	1698
139	275	1690
140	276	1683
141	277	1675
142	280	1678
143	281	1671
144	282	1663
145	283	1655
146	284	1650
147	285	1643
148	286	1638
149	288	1633
150	289	1626
151	290	1620
152	291	1613
153	293	1612
154	294	1607
155	296	1604
156	298	1605
157	301	1605
158	302	1601
159	304	1597
160	305	1592
161	306	1586
162	308	1581
163	309	1578
164	310	1573
165	312	1570
166	314	1569
167	315	1564
168	317	1559
169	318	1553
170	319	1548
171	320	1543
172	322	1541
173	323	1537
174	325	1532
175	327	1531
176	328	1525
177	329	1520
178	330	1515
179	331	1510
180	332	1505
181	333	1500
182	334	1495
183	335	1489
184	337	1487
185	338	1482
186	340	1479
187	341	1475
188	342	1471
189	344	1466
190	345	1462
191	346	1457
192	347	1452
193	348	1448
194	349	1444
195	351	1439
196	353	1439
197	354	1435
198	355	1431
199	357	1428
200	358	1425
201	359	1421
202	360	1416
203	361	1412
204	363	1408
205	364	1404
206	365	1401
207	367	1397
208	368	1394
209	370	1392
210	371	1390
211	373	1386
212	374	1384
213	376	1381
214	377	1377
215	378	1373
216	379	1370
217	381	1366
218	382	1363
219	383	1360
220	384	1356
221	386	1354
222	387	1351
223	389	1348
224	390	1346
225	391	1342
226	393	1339
227	394	1336
228	395	1332
229	396	1329
230	398	1326
231	399	1323
232	401	1320
233	402	1316
234	404	1315
235	405	1313
236	406	1309
237	407	1305
238	409	1302
239	410	1299
240	411	1295
241	412	1292
242	414	1291
243	415	1288
244	417	1286
245	418	1283
246	420	1280
247	421	1277
248	422	1273
249	423	1270
250	424	1267
251	425	1264
252	426	1260
253	427	1256
254	428	1252
255	430	1250
256	431	1247
257	432	1244
258	433	1241
259	435	1239
260	436	1236
261	438	1233
262	439	1231
263	440	1227
264	441	1225
265	442	1222
266	443	1218
267	445	1216
268	446	1213
269	447	1210
270	448	1207
